"","date","Var_pass","Var_search"
"1",2018 Feb,-0.02,-0.09
"2",2018 Mar,0.25,0.15
"3",2018 Apr,0.14,0.26
"4",2018 May,0.07,-0.01
"5",2018 Jun,0.04,0.13
"6",2018 Jul,0.08,0.27
"7",2018 Aug,-0.01,0.12
"8",2018 Sep,-0.06,-0.49
"9",2018 Oct,-0.06,-0.2
"10",2018 Nov,-0.21,-0.12
"11",2018 Dec,-0.02,0.08
"12",2019 Jan,-0.08,-0.19
"13",2019 Feb,-0.02,-0.08
"14",2019 Mar,0.22,0.22
"15",2019 Apr,0.12,0.27
"16",2019 May,0.04,0.05
"17",2019 Jun,0.09,0.16
"18",2019 Jul,0.06,0.57
"19",2019 Aug,0.01,0
"20",2019 Sep,-0.07,-0.52
"21",2019 Oct,-0.07,-0.09
"22",2019 Nov,-0.22,-0.01
"23",2019 Dec,-0.02,-0.24
"24",2020 Jan,-0.08,-0.28
"25",2020 Feb,-0.12,-0.19
"26",2020 Mar,-0.74,-0.76
"27",2020 Apr,-0.89,-0.8
"28",2020 May,0.57,-0.5
"29",2020 Jun,1.69,2.8
"30",2020 Jul,1.44,2.04
"31",2020 Aug,0.28,1.96
"32",2020 Sep,-0.22,-0.56
"33",2020 Oct,-0.16,-0.07
"34",2020 Nov,-0.54,-0.19
"35",2020 Dec,0.25,-0.48
"36",2021 Jan,-0.09,1.08
"37",2021 Feb,0.1,-0.2
"38",2021 Mar,0.09,0.06
"39",2021 Apr,0.11,-0.07
"40",2021 May,0.36,1.15
"41",2021 Jun,0.45,1.07
"42",2021 Jul,0.63,0.45
"43",2021 Aug,0.24,0.16
"44",2021 Sep,-0.09,-0.27
"45",2021 Oct,0,0.08
"46",2021 Nov,-0.04,0.3
"47",2021 Dec,-0.08,-0.22
